RANK,NEIGHBORHOOD,ASIAN POPULATION
244,Huntington Park,0.01
245,Cudahy,0.01
246,Central-Alameda,0.01
247,Westmont,0.01
248,Willowbrook,0.01
249,Harvard Park,0.01
250,Walnut Park,0.01
251,Bell Gardens,0.01
252,San Fernando,0.01
253,Broadway-Manchester,0.00
254,Florence,0.00
255,Gramercy Park,0.00
256,Green Meadows,0.00
257,Manchester Square,0.00
258,Vermont-Slauson,0.00
259,Maywood,0.00
260,Agua Dulce,0.00
261,Watts,0.00
262,South Park,0.00
263,Florence-Firestone,0.00
264,Veterans Administration,0.00
264,Vernon,0.00
