RANK,NEIGHBORHOOD,WHITE POPULATION
244,West Compton,0.02
245,Vermont Square,0.01
246,East Compton,0.01
247,Vermont-Slauson,0.01
248,Westmont,0.01
249,Leimert Park,0.01
250,Historic South-Central,0.01
251,Athens,0.01
252,Vermont Vista,0.01
253,Harvard Park,0.01
254,Central-Alameda,0.01
255,South Park,0.01
256,Vermont Knolls,0.01
257,Broadway-Manchester,0.01
258,Willowbrook,0.01
259,Gramercy Park,0.01
260,Compton,0.01
261,Florence-Firestone,0.01
262,Manchester Square,0.01
263,Green Meadows,0.01
264,Watts,0.01
265,Florence,0.00
