RANK,NEIGHBORHOOD,LATINO POPULATION
125,West Compton,0.36
126,East Pasadena,0.36
127,Unincorporated Catalina Island,0.36
128,Long Beach,0.36
129,Alhambra,0.36
130,Lake Los Angeles,0.36
131,Monrovia,0.35
132,Carson,0.35
133,Alondra Park,0.35
134,Playa Vista,0.35
135,Littlerock,0.35
136,Lake Balboa,0.34
137,La Mirada,0.34
138,Pasadena,0.33
139,Castaic,0.32
140,Gardena,0.32
141,North El Monte,0.31
142,San Gabriel,0.30
143,West Carson,0.30
144,Mar Vista,0.29
145,Signal Hill,0.29
146,Monterey Park,0.29
147,Shadow Hills,0.29
148,Desert View Highlands,0.28
149,Rowland Heights,0.27
150,Hyde Park,0.27
151,Hasley Canyon,0.27
152,East San Gabriel,0.27
153,Lopez/Kagel Canyons,0.27
154,Ramona,0.26
155,Tujunga,0.26
156,Lomita,0.26
157,Northridge,0.26
158,Burbank,0.25
159,Northeast Antelope Valley,0.25
160,Lancaster,0.24
161,Culver City,0.24
162,Chinatown,0.24
163,San Dimas,0.24
164,Palms,0.23
165,La Verne,0.23
166,Lakewood,0.23
167,Sawtelle,0.23
168,Glendora,0.22
169,Venice,0.22
170,Sunland,0.22
171,Santa Clarita,0.21
172,Granada Hills,0.21
173,Altadena,0.20
174,Temple City,0.20
175,Ridge Route,0.20
176,West San Dimas,0.20
177,Mid-Wilshire,0.20
178,Glendale,0.20
179,Manchester Square,0.19
180,Walnut,0.19
181,Valley Village,0.19
182,Los Feliz,0.19
183,Diamond Bar,0.19
184,San Pasqual,0.18
185,Baldwin Hills/Crenshaw,0.17
186,Unincorporated Santa Susana Mountains,0.17
187,Westchester,0.17
188,Castaic Canyons,0.17
189,Southeast Antelope Valley,0.16
190,Rancho Park,0.16
191,Elizabeth Lake,0.16
192,Rancho Dominguez,0.16
193,South Pasadena,0.16
194,Lake Hughes,0.16
195,Carthay,0.16
196,Claremont,0.16
197,Quartz Hill,0.15
198,Tarzana,0.15
199,Tujunga Canyons,0.15
200,Windsor Square,0.15
201,Northwest Antelope Valley,0.14
202,Toluca Lake,0.14
203,Santa Monica,0.14
204,Chatsworth,0.14
205,Redondo Beach,0.13
206,Torrance,0.13
207,Stevenson Ranch,0.13
208,Green Valley,0.12
209,Acton,0.12
