RANK,NEIGHBORHOOD,BLACK POPULATION
197,East La Mirada,0.01
198,Century City,0.01
199,Glassell Park,0.01
200,North El Monte,0.01
201,Alhambra,0.01
202,Ridge Route,0.01
203,Atwater Village,0.01
204,Beverly Hills,0.01
205,Baldwin Park,0.01
206,Glendora,0.01
207,Cheviot Hills,0.01
208,Shadow Hills,0.01
209,Rolling Hills Estates,0.01
210,Brentwood,0.01
211,Malibu,0.01
212,Hacienda Heights,0.01
213,Sierra Madre,0.01
214,Palos Verdes Estates,0.01
215,Elysian Valley,0.01
216,El Segundo,0.01
217,Bradbury,0.01
218,Glendale,0.01
219,South Whittier,0.01
220,San Gabriel,0.01
221,Calabasas,0.01
222,Whittier,0.01
223,Bel-Air,0.01
224,Boyle Heights,0.01
225,Temple City,0.01
226,West Whittier-Los Nietos,0.01
227,Arcadia,0.01
228,Agoura Hills,0.01
229,Acton,0.01
230,Bell,0.01
231,North Whittier,0.01
232,San Fernando,0.01
233,Hermosa Beach,0.01
234,Avocado Heights,0.01
235,South Gate,0.01
236,Topanga,0.01
237,Rosemead,0.01
238,Bell Gardens,0.01
239,Cypress Park,0.01
240,South San Gabriel,0.01
241,Huntington Park,0.01
242,El Monte,0.01
243,Pico Rivera,0.01
244,Montebello,0.01
245,San Marino,0.01
246,La Crescenta-Montrose,0.01
247,La Cañada Flintridge,0.01
248,Manhattan Beach,0.01
249,Leona Valley,0.01
250,Westlake Village,0.01
251,Hidden Hills,0.00
252,Lincoln Heights,0.00
253,Pacific Palisades,0.00
254,Commerce,0.00
255,East Los Angeles,0.00
256,Avalon,0.00
257,Agua Dulce,0.00
258,Cudahy,0.00
259,Monterey Park,0.00
260,South El Monte,0.00
261,Walnut Park,0.00
262,Maywood,0.00
263,Vernon,0.00
263,Unincorporated Catalina Island,0.00
263,Irwindale,0.00
