NEIGHBORHOOD,POPULATION PER SQMI,SINGLE PARENTS,ASIAN POPULATION,LATINO POPULATION,WHITE POPULATION,CRIME PER CAPITA,CRIME TOTAL,DIVERSITY INDEX,MEDIAN INCOME,HOMEOWNERS,BLACK POPULATION,NDVI_SPRING,NDVI_SUMMER,TEMP_SPRING,TEMP_SUMMER
Acton,166.0,0.09,0.02,0.12,0.82,0.0,0.0,0.316,83983.0,0.88,0.01,0.20389668984644627,0.13630211857656224,30.096358683274644,49.03427743342516
Adams-Normandie,21848.0,0.24,0.05,0.62,0.06,30.3,56.0,0.545,29606.0,0.21,0.25,0.1108317007180701,0.0882819540590684,38.373948070607554,46.61407340414614
Adams-Normandie,21848.0,0.24,0.05,0.62,0.06,29606.0,,0.545,29606.0,0.21,0.25,0.1108317007180701,0.0882819540590684,38.373948070607554,46.61407340414614
Agoura Hills,2495.0,0.1,0.06,0.07,0.83,0.0,0.0,0.304,117608.0,0.84,0.01,0.25485848307046943,0.159426152982474,34.428408094223784,46.34587139624539
Agua Dulce,99.0,0.05,0.0,0.11,0.84,0.0,0.0,0.282,106078.0,0.87,0.0,0.21695378893245137,0.13362929305909957,29.22685408270545,48.845687276858165
Alhambra,11275.0,0.13,0.47,0.36,0.14,,,0.631,53224.0,0.39,0.01,0.1524111992429384,0.12415525766246185,37.584621511262675,47.221423479087456
Alondra Park,7548.0,0.2,0.15,0.35,0.26,13.9,12.0,0.748,57177.0,0.52,0.19,0.2368611475959789,0.17808363468886462,36.080845160116446,44.122707423580785
Altadena,4900.0,0.13,0.04,0.2,0.4,2.6,11.0,0.7020000000000001,82676.0,0.75,0.31,0.23906741974869375,0.20391484432879398,32.67278766669266,44.7742679170241
Angeles Crest,3.0,0.07,0.02,0.12,0.72,,,0.452,72841.0,0.88,0.1,inf,0.23650101654655983,24.018462901082973,42.581245856853016
Arcadia,4749.0,0.1,0.45,0.1,0.4,,,0.62,75808.0,0.62,0.01,0.2495552679979356,0.21353733207576633,34.988504783960025,45.46709460492129
Arleta,10034.0,0.12,0.11,0.72,0.13,14.4,47.0,0.455,65649.0,0.8,0.02,0.24933950909844532,0.12932230830581376,38.098683137638616,48.29674724735637
Arlington Heights,21423.0,0.24,0.13,0.57,0.05,28.7,67.0,0.6,31421.0,0.18,0.25,0.11462855001520773,0.0917327272078859,38.315850727960104,46.46781491312741
Arlington Heights,21423.0,0.24,0.13,0.57,0.05,31421.0,,0.6,31421.0,0.18,0.25,0.11462855001520773,0.0917327272078859,38.315850727960104,46.46781491312741
Artesia,10036.0,0.1,0.28,0.38,0.26,6.7,11.0,0.706,60538.0,0.57,0.03,0.13781502144420688,0.11018082314415344,38.472249796375486,46.0609791793932
Athens,6829.0,0.25,0.03,0.4,0.01,53.8,49.0,0.547,48824.0,0.56,0.54,0.19752335458431602,0.1295568156692217,36.662830188679244,46.022146226415096
Atwater Village,8379.0,0.14,0.2,0.51,0.22,5.2,8.0,0.645,53872.0,0.4,0.01,0.136542875808815,0.12113349935802577,36.30130571030641,45.933458550427986
Avalon,1159.0,0.2,0.02,0.46,0.5,0.0,0.0,0.5429999999999999,53200.0,0.27,0.0,0.0,0.0,0.0,0.0
Avocado Heights,5907.0,0.12,0.09,0.79,0.11,2.9,5.0,0.36200000000000004,64544.0,0.72,0.01,0.17973258539043516,0.14073017677356003,36.067197509388116,46.67008002453714
Azusa,4496.0,0.18,0.06,0.65,0.24,,,0.521,53299.0,0.5,0.03,0.26324494627569955,0.204658161699935,33.60825251436781,45.76183115133511
Baldwin Hills/Crenshaw,10446.0,0.32,0.05,0.17,0.03,41.1,132.0,0.457,37948.0,0.31,0.71,0.1776732617482843,0.13052599255645136,36.831805426311504,45.84515093735445
Baldwin Hills/Crenshaw,10446.0,0.32,0.05,0.17,0.03,37948.0,,0.457,37948.0,0.31,0.71,0.1776732617482843,0.13052599255645136,36.831805426311504,45.84515093735445
Baldwin Park,11176.0,0.16,0.12,0.79,0.07,,,0.36,56585.0,0.61,0.01,0.13508607711353413,0.11416419576746438,37.343332916770805,47.754848298225326
Bel-Air,1207.0,0.04,0.08,0.05,0.83,3.6,3.0,0.301,207938.0,0.86,0.01,0.31009414012537306,0.22342073127065123,30.572522516520998,41.5883773449158
Bell,14357.0,0.2,0.01,0.91,0.06,40556.0,,0.17300000000000001,40556.0,0.31,0.01,0.13658654793047026,0.08895489348082983,39.491160310277955,47.49887246510403
Bellflower,11756.0,0.2,0.1,0.43,0.31,6.9,50.0,0.6940000000000001,53325.0,0.4,0.12,0.13918514797687662,0.11092031953430934,38.88565854062104,46.33749517401136
Bell Gardens,17762.0,0.22,0.01,0.94,0.05,41532.0,,0.11900000000000001,41532.0,0.24,0.01,0.1341565220906085,0.10690324569100562,38.88410699769679,47.07212874474719
Beverly Crest,1318.0,0.06,0.04,0.03,0.88,2.6,3.0,0.23,169282.0,0.9,0.02,0.3778089611639726,0.27800977843052865,30.29412704630737,41.54894643519855
Beverly Grove,12990.0,0.07,0.05,0.06,0.82,52.1,119.0,0.319,63039.0,0.25,0.02,0.12533518483518621,0.11219702741511493,36.717564244127686,44.85104020277053
Beverly Hills,5933.0,0.09,0.08,0.05,0.82,,,0.32,96312.0,0.44,0.01,0.2022402101484052,0.17501307947707473,33.91150694034259,42.58279681039575
Beverlywood,7654.0,0.07,0.07,0.06,0.8,10.9,7.0,0.348,105253.0,0.7,0.04,0.20303489748111442,0.16729721195441632,36.20712164256199,44.17786027892562
Boyle Heights,14229.0,0.21,0.02,0.94,0.02,28.0,278.0,0.115,33235.0,0.24,0.01,0.11237548661929884,0.0856319822403388,38.23291616484264,47.15412170824208
Boyle Heights,14229.0,0.21,0.02,0.94,0.02,33235.0,,0.115,33235.0,0.24,0.01,0.11237548661929884,0.0856319822403388,38.23291616484264,47.15412170824208
Bradbury,658.0,0.04,0.19,0.12,0.66,0.0,0.0,0.513,123773.0,0.84,0.01,0.29517541874074155,0.2188499666083021,29.975388855001743,42.82610447891251
Brentwood,2059.0,0.06,0.07,0.05,0.84,5.7,19.0,0.28300000000000003,112927.0,0.52,0.01,0.291152747101823,0.21309311111874116,30.996112406664125,41.92155301926139
Broadway-Manchester,15060.0,0.28,0.0,0.59,0.01,105.4,272.0,0.502,29897.0,0.37,0.39,0.10938273666765419,0.08332269487352538,38.41932520238603,46.60404239454623
Broadway-Manchester,15060.0,0.28,0.0,0.59,0.01,29897.0,,0.502,29897.0,0.37,0.39,0.10938273666765419,0.08332269487352538,38.41932520238603,46.60404239454623
Burbank,5785.0,0.13,0.09,0.25,0.59,,,0.581,64416.0,0.44,0.02,0.1766422828761872,0.13999091066481995,35.43449990106846,46.31340860193433
Calabasas,1247.0,0.1,0.08,0.05,0.83,2.6,6.0,0.298,126178.0,0.8,0.01,0.27600450398044307,0.1683409782975205,31.949895148178257,45.62881229736862
Canoga Park,12240.0,0.18,0.11,0.51,0.31,21.3,129.0,0.632,51601.0,0.36,0.04,0.13650444730088107,0.11706351235274869,37.085520532155975,47.82703584407004
Carson,4676.0,0.11,0.24,0.35,0.12,3.1,28.0,0.741,70645.0,0.78,0.25,0.15817022602870062,0.11834728930666248,37.7683979582699,46.07330749121067
Carthay,9642.0,0.14,0.09,0.16,0.58,46.9,24.0,0.615,71398.0,0.35,0.13,0.16922230754557716,0.13330951470357114,36.131684478423104,44.42099286177807
Castaic,3076.0,0.08,0.06,0.32,0.47,11.3,19.0,0.654,108693.0,0.88,0.13,0.20358328174315898,0.13967397822727065,33.393029509100934,48.342925552922594
Castaic Canyons,40.0,0.11,0.04,0.17,0.74,20.6,16.0,0.43,93248.0,0.86,0.03,0.25395462034300503,0.17459828741681618,27.825235549358275,46.993367382311476
Central-Alameda,18760.0,0.26,0.01,0.85,0.01,42.6,186.0,0.267,31559.0,0.3,0.13,0.08887538146736926,0.07644543941691691,39.91003978062722,47.88228800351662
Central-Alameda,18760.0,0.26,0.01,0.85,0.01,31559.0,,0.267,31559.0,0.3,0.13,0.08887538146736926,0.07644543941691691,39.91003978062722,47.88228800351662
