NEIGHBORHOOD,POPULATION PER SQMI,SINGLE PARENTS,ASIAN POPULATION,LATINO POPULATION,WHITE POPULATION,CRIME PER CAPITA,CRIME TOTAL,DIVERSITY INDEX,MEDIAN INCOME,HOMEOWNERS,BLACK POPULATION,NDVI_SPRING,NDVI_SUMMER,TEMP_SPRING,TEMP_SUMMER
Century City,7869.0,0.05,0.09,0.04,0.83,1.9,9.0,0.309,95135.0,0.6,0.01,0.15546322002651647,0.1373566943610478,34.5617329943899,42.87907608695652
Cerritos,5851.0,0.06,0.58,0.11,0.21,2.9,15.0,0.599,98212.0,0.83,0.06,0.15389166560798112,0.1272001869978235,37.49629420111989,45.12848209482825
Charter Oak,9816.0,0.17,0.1,0.36,0.44,6.6,6.0,0.659,68092.0,0.63,0.05,0.14658462175611991,0.12432125199577256,37.2542834143637,47.52263519276698
Chatsworth,2301.0,0.1,0.14,0.14,0.66,13.2,49.0,0.527,84456.0,0.71,0.02,0.20275276177593,0.150484526081069,33.25279499977618,46.71974140151249
Chatsworth Reservoir,,,,,,,,,,,,0.302690644614331,0.15827626107866538,32.3887495376364,47.708228314628116
Chesterfield Square,9571.0,0.3,0.01,0.37,0.02,126.9,81.0,0.52,37737.0,0.51,0.59,0.11602669997897891,0.09535712358719876,38.273943638975965,46.77328239289446
Chesterfield Square,9571.0,0.3,0.01,0.37,0.02,37737.0,,0.52,37737.0,0.51,0.59,0.11602669997897891,0.09535712358719876,38.273943638975965,46.77328239289446
Cheviot Hills,4520.0,0.1,0.09,0.08,0.79,6.8,5.0,0.364,111813.0,0.64,0.01,0.2637086422062024,0.2227267027679543,34.64112486398259,42.63235854189336
Chinatown,10568.0,0.1,0.71,0.24,0.03,21.8,63.0,0.445,22754.0,0.09,0.02,0.09007305615040402,0.07290251550367913,37.63282096424702,46.88637030516432
Chinatown,10568.0,0.1,0.71,0.24,0.03,22754.0,,0.445,22754.0,0.09,0.02,0.09007305615040402,0.07290251550367913,37.63282096424702,46.88637030516432
Citrus,11827.0,0.15,0.07,0.65,0.23,1.7,2.0,0.519,66638.0,0.63,0.04,0.1678348480821878,0.13708103602996854,37.090755086983535,47.5174766718507
Claremont,2124.0,0.1,0.12,0.16,0.64,,,0.545,89804.0,0.68,0.05,0.24616907392901172,0.19245671181554347,31.437967433737416,45.1441135349631
Commerce,1912.0,0.18,0.01,0.93,0.04,,,0.125,46245.0,0.47,0.0,0.15206021164984093,0.0786618362842501,39.592109651598335,48.03841313597411
Compton,9199.0,0.22,0.01,0.57,0.01,12.7,120.0,0.519,43157.0,0.57,0.4,0.14727839048101204,0.10446052199736415,38.70935542583544,46.57358904199908
Compton,9199.0,0.22,0.01,0.57,0.01,43157.0,,0.519,43157.0,0.57,0.4,0.14727839048101204,0.10446052199736415,38.70935542583544,46.57358904199908
Covina,6701.0,0.18,0.1,0.4,0.42,,,0.653,66438.0,0.6,0.05,0.16259131016947748,0.13269922030414216,36.73945669952699,47.15935666014583
Cudahy,19697.0,0.24,0.01,0.94,0.04,39048.0,,0.11699999999999999,39048.0,0.17,0.0,0.11603041178385416,0.08546956380208333,39.5977,47.56891666666667
Culver City,7475.0,0.13,0.12,0.24,0.48,,,0.6809999999999999,70774.0,0.54,0.11,0.1517628722643064,0.12059478633427011,36.06901232405579,44.2188992739316
Cypress Park,13478.0,0.17,0.11,0.82,0.05,25.8,28.0,0.311,42615.0,0.42,0.01,0.10784434431234155,0.09899138058724648,37.506741209215164,46.90175471230159
Cypress Park,13478.0,0.17,0.11,0.82,0.05,42615.0,,0.311,42615.0,0.42,0.01,0.10784434431234155,0.09899138058724648,37.506741209215164,46.90175471230159
Del Aire,9132.0,0.15,0.09,0.46,0.34,4.4,4.0,0.657,66442.0,0.66,0.07,0.1432819926514558,0.10659734662394836,37.2914415621907,44.94886176179479
Del Rey,11420.0,0.13,0.14,0.44,0.34,10.6,35.0,0.6659999999999999,62259.0,0.45,0.04,0.15394984017485974,0.1436469869805749,35.79718128971204,43.28627737596323
Desert View Highlands,5160.0,0.11,0.07,0.28,0.51,8.7,2.0,0.645,80867.0,0.81,0.11,0.16477445302652882,0.13324819254444106,33.97727420897079,49.39086797248804
Diamond Bar,3754.0,0.08,0.43,0.19,0.31,1.4,8.0,0.687,92414.0,0.83,0.05,0.24166600519466194,0.15847542974760703,33.422338884866036,45.39254285974831
Downey,8566.0,0.16,0.07,0.58,0.29,,,0.5770000000000001,61839.0,0.52,0.04,0.16262312506827242,0.12794576885855316,38.55375430116336,46.28001694174227
Downtown,4770.0,0.14,0.21,0.37,0.16,40.8,847.0,0.743,15003.0,0.07,0.22,0.12486804672006241,0.09792502684065854,38.38752989384041,46.86508843701119
Downtown,4770.0,0.14,0.21,0.37,0.16,15003.0,,0.743,15003.0,0.07,0.22,0.12486804672006241,0.09792502684065854,38.38752989384041,46.86508843701119
Duarte,3212.0,0.13,0.13,0.43,0.32,5.1,11.0,0.687,68539.0,0.71,0.09,0.24269116697126292,0.19336069201774012,30.903047012856064,43.89903967413237
Eagle Rock,7644.0,0.13,0.24,0.4,0.3,7.3,25.0,0.69,67253.0,0.56,0.02,0.1970139160736938,0.14953535856172698,34.75100095139935,45.95009320958274
East Compton,16542.0,0.2,0.01,0.73,0.01,8.7,12.0,0.41600000000000004,44439.0,0.56,0.23,0.1573137849602794,0.1169356585709355,39.05714152002995,46.393269140771245
East Compton,16542.0,0.2,0.01,0.73,0.01,44439.0,,0.41600000000000004,44439.0,0.56,0.23,0.1573137849602794,0.1169356585709355,39.05714152002995,46.393269140771245
East Hollywood,31095.0,0.2,0.16,0.6,0.18,29.3,229.0,0.578,29927.0,0.09,0.02,0.09385489441577245,0.08211985333796724,38.27576037521319,47.12350682593857
East Hollywood,31095.0,0.2,0.16,0.6,0.18,29927.0,,0.578,29927.0,0.09,0.02,0.09385489441577245,0.08211985333796724,38.27576037521319,47.12350682593857
East La Mirada,8506.0,0.1,0.04,0.38,0.54,1.1,1.0,0.561,69930.0,0.65,0.01,0.16474554204041642,0.13875328870063697,37.57103739524094,46.54453195151152
East Los Angeles,16863.0,0.19,0.01,0.97,0.02,38621.0,,0.065,38621.0,0.37,0.0,0.12696478090367855,0.09704420949816812,38.51632190970326,47.46292319641797
East Pasadena,4622.0,0.05,0.2,0.36,0.37,11.6,7.0,0.6920000000000001,73690.0,0.71,0.02,0.2033769816823138,0.17612708029047425,35.10313827793052,45.678306985753565
East San Gabriel,10157.0,0.11,0.41,0.27,0.28,2.7,6.0,0.6829999999999999,64365.0,0.54,0.02,0.18081826226624742,0.1575619586979474,37.49680030982591,47.23241294082928
Echo Park,16868.0,0.21,0.19,0.64,0.13,19.8,87.0,0.5379999999999999,37708.0,0.24,0.02,0.1814220885380397,0.13851365113324773,35.56606241295265,45.298067548746516
Echo Park,16868.0,0.21,0.19,0.64,0.13,37708.0,,0.5379999999999999,37708.0,0.24,0.02,0.1814220885380397,0.13851365113324773,35.56606241295265,45.298067548746516
Elizabeth Lake,219.0,0.11,0.01,0.16,0.76,0.0,0.0,0.39,75951.0,0.77,0.04,0.33940457643540023,0.16765788410966026,28.602749945986822,47.72688281007952
El Monte,11995.0,0.18,0.19,0.73,0.07,44415.0,,0.435,44415.0,0.41,0.01,0.1328059073822543,0.11551619872020787,37.964971805827965,47.69691614504641
El Segundo,2925.0,0.13,0.07,0.1,0.78,,,0.38,83925.0,0.42,0.01,0.15952822296047509,0.12409740222205996,36.1347429906542,43.362647975077884
El Sereno,9826.0,0.18,0.11,0.81,0.05,12.6,55.0,0.325,45866.0,0.48,0.02,0.18992524432374042,0.13073709569707423,35.84701104679602,46.98108646770237
El Sereno,9826.0,0.18,0.11,0.81,0.05,45866.0,,0.325,45866.0,0.48,0.02,0.18992524432374042,0.13073709569707423,35.84701104679602,46.98108646770237
Elysian Park,1538.0,0.18,0.43,0.48,0.03,15.0,4.0,0.5820000000000001,28263.0,0.18,0.02,0.24366973282454849,0.1562539509364537,33.08731990665584,44.74291704730004
Elysian Park,1538.0,0.18,0.43,0.48,0.03,28263.0,,0.5820000000000001,28263.0,0.18,0.02,0.24366973282454849,0.1562539509364537,33.08731990665584,44.74291704730004
Elysian Valley,9354.0,0.14,0.26,0.61,0.1,9.0,7.0,0.552,49013.0,0.48,0.01,0.11971864482867213,0.1205078274108688,36.00241118688925,45.48956000610749
Encino,4411.0,0.09,0.05,0.09,0.8,8.5,38.0,0.34600000000000003,78529.0,0.62,0.02,0.3055581325564997,0.24583167953030685,35.36830132581201,44.60985148158803
Exposition Park,16819.0,0.27,0.02,0.56,0.02,47.5,159.0,0.539,33999.0,0.31,0.38,0.12962269652831498,0.10177490101061953,38.24411858390972,46.49873441481616
Exposition Park,16819.0,0.27,0.02,0.56,0.02,33999.0,,0.539,33999.0,0.31,0.38,0.12962269652831498,0.10177490101061953,38.24411858390972,46.49873441481616
Fairfax,10122.0,0.06,0.05,0.06,0.85,63.6,85.0,0.27699999999999997,65938.0,0.29,0.02,0.14061932038562297,0.11899254106013463,36.940467308735755,45.36063822571894
Florence,15661.0,0.28,0.0,0.7,0.0,77.5,361.0,0.434,29447.0,0.35,0.28,0.09115254403089247,0.0767310420169106,39.56828900925024,47.28228203943315
Florence,15661.0,0.28,0.0,0.7,0.0,29447.0,,0.434,29447.0,0.35,0.28,0.09115254403089247,0.0767310420169106,39.56828900925024,47.28228203943315
Florence-Firestone,16805.0,0.23,0.0,0.86,0.01,14.0,84.0,0.243,34408.0,0.38,0.13,0.10345013954305438,0.08522910400643287,39.65899308495625,47.30668878223226
Florence-Firestone,16805.0,0.23,0.0,0.86,0.01,34408.0,,0.243,34408.0,0.38,0.13,0.10345013954305438,0.08522910400643287,39.65899308495625,47.30668878223226
Gardena,9894.0,0.16,0.27,0.32,0.12,,,0.748,52897.0,0.47,0.25,0.10992961422652336,0.08689655480400937,38.59883636257719,46.781526871065516
Glassell Park,8524.0,0.17,0.17,0.66,0.14,17.3,43.0,0.513,50098.0,0.44,0.01,0.18596814945792364,0.14701506523693555,35.77475570526827,46.00257842060295
Glendale,6368.0,0.09,0.16,0.2,0.54,,,0.635,57112.0,0.38,0.01,0.2116423757002801,0.1695107449229692,32.487918767507004,44.83286603487916
Glendora,2568.0,0.11,0.07,0.22,0.67,,,0.495,81336.0,0.74,0.01,0.24050246375555243,0.17987224394609092,31.51144942676054,44.28809942034077
Gramercy Park,8859.0,0.22,0.0,0.12,0.01,85.0,95.0,0.24100000000000002,57983.0,0.7,0.86,0.16305756039716818,0.11756787239429195,37.86092408996745,46.80624815034034
Granada Hills,3344.0,0.09,0.16,0.21,0.56,7.2,39.0,0.62,83911.0,0.74,0.03,0.2952697853727512,0.22149712550256678,33.900119821006726,47.15123416050687
Green Meadows,12785.0,0.28,0.0,0.54,0.01,95.9,293.0,0.512,31347.0,0.48,0.44,0.13558493933543098,0.10213005711885012,38.49220776125095,46.61029271548436
Green Meadows,12785.0,0.28,0.0,0.54,0.01,31347.0,,0.512,31347.0,0.48,0.44,0.13558493933543098,0.10213005711885012,38.49220776125095,46.61029271548436
Green Valley,290.0,0.07,0.03,0.12,0.75,0.0,0.0,0.42,78712.0,0.86,0.06,0.23878931116174767,0.1888089749057597,26.682952755272634,46.08517754543025
Griffith Park,,,,,,,,,,,,0.2865650317236773,0.20269719030848918,30.730228962192925,43.18969814556447
Hacienda Heights,4503.0,0.08,0.36,0.38,0.23,1.1,6.0,0.674,80762.0,0.8,0.01,0.23760543850907992,0.16837565338374536,33.93743344749187,45.19618620868513
Hancock Park,6459.0,0.1,0.13,0.09,0.71,21.6,23.0,0.473,85277.0,0.47,0.04,0.20791977243429807,0.17945213089446108,34.86483283433134,43.144675925925924
Hansen Dam,,,,,,,,,,,,0.382609091127175,0.2731319285626706,31.001756546400546,44.09182330022264
Harbor City,9127.0,0.19,0.14,0.48,0.25,20.0,52.0,0.674,55454.0,0.46,0.11,0.23425454630290835,0.19111202599568294,36.18623003765256,44.5351207478577
Harbor Gateway,7720.0,0.19,0.16,0.53,0.12,30.7,129.0,0.648,47849.0,0.4,0.16,0.1162277506276901,0.09295468015062525,38.06354343289422,46.12493054193633
Harvard Heights,23473.0,0.23,0.13,0.66,0.03,36.2,73.0,0.517,31173.0,0.16,0.16,0.10025301612173902,0.08147424940424323,38.65031553654415,46.93715673848754
Harvard Heights,23473.0,0.23,0.13,0.66,0.03,31173.0,,0.517,31173.0,0.16,0.16,0.10025301612173902,0.08147424940424323,38.65031553654415,46.93715673848754
Harvard Park,16072.0,0.24,0.01,0.48,0.01,109.3,119.0,0.5329999999999999,37013.0,0.51,0.48,0.12720260855834836,0.10331099065275812,38.555138066426366,47.06660014865564
Harvard Park,16072.0,0.24,0.01,0.48,0.01,37013.0,,0.5329999999999999,37013.0,0.51,0.48,0.12720260855834836,0.10331099065275812,38.555138066426366,47.06660014865564
Hasley Canyon,136.0,0.1,0.04,0.27,0.61,0.0,0.0,0.547,106489.0,0.9,0.05,0.2665942090254912,0.15436155394783008,32.0657117024722,49.032737540392745
Hawaiian Gardens,15141.0,0.2,0.09,0.74,0.11,5.4,8.0,0.436,46853.0,0.45,0.05,0.11582774624283353,0.10184411584313274,38.61500878808169,45.772106210244395
Hawthorne,13848.0,0.27,0.08,0.44,0.13,43602.0,,0.6759999999999999,43602.0,0.26,0.32,0.10877872457330201,0.08721600189399069,38.115162757948326,45.85105171852976
Hermosa Beach,12481.0,0.08,0.05,0.07,0.85,,,0.272,109509.0,0.43,0.01,0.10385764854541724,0.09955889936806499,35.57463626585145,41.68417402626812
Hidden Hills,1100.0,0.05,0.03,0.06,0.89,0.0,0.0,0.207,203199.0,0.97,0.0,0.2800241049156996,0.21794512777056224,33.02656765876869,45.09754624684405
Highland Park,16835.0,0.21,0.11,0.72,0.11,13.1,80.0,0.449,45478.0,0.39,0.02,0.16263388526005565,0.13383166733912794,36.504631211559115,46.91936871522015
Highland Park,16835.0,0.21,0.11,0.72,0.11,45478.0,,0.449,45478.0,0.39,0.02,0.16263388526005565,0.13383166733912794,36.504631211559115,46.91936871522015
Historic South-Central,19474.0,0.25,0.01,0.87,0.01,46.7,245.0,0.22899999999999998,30882.0,0.2,0.1,0.08313828140505095,0.06925623162646367,39.684076475258,47.74600708366747
Historic South-Central,19474.0,0.25,0.01,0.87,0.01,30882.0,,0.22899999999999998,30882.0,0.2,0.1,0.08313828140505095,0.06925623162646367,39.684076475258,47.74600708366747
Hollywood,22193.0,0.18,0.07,0.42,0.41,49.1,420.0,0.644,33694.0,0.08,0.05,0.10161759650468341,0.09368424937713295,37.392759463646044,46.112350542162844
Hollywood,22193.0,0.18,0.07,0.42,0.41,33694.0,,0.644,33694.0,0.08,0.05,0.10161759650468341,0.09368424937713295,37.392759463646044,46.112350542162844
Hollywood Hills,3063.0,0.07,0.07,0.09,0.74,14.8,34.0,0.433,69277.0,0.44,0.05,0.30902005536732374,0.23134535368199496,31.37801674155675,43.02105679567087
Hollywood Hills West,3048.0,0.06,0.04,0.06,0.85,18.1,29.0,0.273,108199.0,0.64,0.03,0.2531607361580819,0.1895506457574575,31.816146375303504,42.76307232049948
Huntington Park,20223.0,0.2,0.01,0.95,0.03,39185.0,,0.094,39185.0,0.27,0.01,0.09795989553981334,0.0796727922320864,40.21555077523642,47.85045138888889
Hyde Park,12700.0,0.29,0.01,0.27,0.02,47.6,185.0,0.488,39460.0,0.47,0.66,0.14166044129017752,0.10866064304607072,37.95011991109031,46.43744150678521
Hyde Park,12700.0,0.29,0.01,0.27,0.02,39460.0,,0.488,39460.0,0.47,0.66,0.14166044129017752,0.10866064304607072,37.95011991109031,46.43744150678521
Industry,82.0,0.0,0.09,0.62,0.24,,,0.546,66616.0,0.4,0.02,0.1335552638133759,0.10446529201664731,37.311568001266856,47.371345097308875
Inglewood,12330.0,0.27,0.01,0.46,0.04,,,0.5710000000000001,46574.0,0.36,0.46,0.14690467292574938,0.11387681900388724,37.33831908165556,45.922844472719106
Irwindale,154.0,0.15,0.01,0.88,0.08,,,0.212,60959.0,0.69,0.0,0.5055496255694258,0.40735081402509005,32.88001227134685,45.7428728267521
Jefferson Park,16300.0,0.27,0.03,0.45,0.03,35.0,85.0,0.5770000000000001,32654.0,0.31,0.47,0.1370463447967789,0.104885848378278,38.10185814806055,46.32298811494797
Jefferson Park,16300.0,0.27,0.03,0.45,0.03,32654.0,,0.5770000000000001,32654.0,0.31,0.47,0.1370463447967789,0.104885848378278,38.10185814806055,46.32298811494797
Koreatown,42611.0,0.2,0.32,0.54,0.07,28.2,350.0,0.602,30558.0,0.07,0.05,0.1001437558885115,0.09037546055260436,38.244613419832014,46.73779302996114
Koreatown,42611.0,0.2,0.32,0.54,0.07,30558.0,,0.602,30558.0,0.07,0.05,0.1001437558885115,0.09037546055260436,38.244613419832014,46.73779302996114
La Ca̱ada Flintridge,,,,,,,,,,,,0.2577560856497945,0.218529185281087,31.02726904536115,43.84810139086455
La Crescenta-Montrose,5401.0,0.09,0.2,0.1,0.66,0.0,0.0,0.514,82693.0,0.65,0.01,0.2009030877519518,0.1795642069464733,32.55860564175587,45.69454169123428
Ladera Heights,2214.0,0.1,0.03,0.03,0.19,4.6,3.0,0.456,117925.0,0.77,0.71,0.21050482059139178,0.1423177533811215,34.195443120198824,44.33534794396746
La Habra Heights,979.0,0.04,0.19,0.12,0.64,0.0,0.0,0.539,137034.0,0.94,0.02,0.31448440318238957,0.22384151163505683,31.322556843025797,43.126817337122866
Lake Balboa,7754.0,0.14,0.09,0.34,0.49,17.9,47.0,0.632,65336.0,0.66,0.04,0.18035981390211317,0.14824724197387695,38.82385932074653,47.36766714004806
Lake Hughes,61.0,0.1,0.01,0.16,0.76,0.0,0.0,0.389,74918.0,0.77,0.04,0.23422419842879494,0.15415743168231313,28.44628870921062,47.61643324127825
Lake Los Angeles,1601.0,0.17,0.02,0.36,0.47,0.0,0.0,0.639,52146.0,0.78,0.09,0.20072869747327413,0.14122189569802215,33.04283783453202,48.78132918074324
Lake View Terrace,2790.0,0.12,0.05,0.53,0.22,10.2,13.0,0.636,67985.0,0.75,0.17,0.22152815592229758,0.14185222868455807,33.06420750216826,47.30934784374239
Lakewood,8348.0,0.11,0.14,0.23,0.52,2.6,21.0,0.649,78764.0,0.72,0.07,0.1720249902336794,0.13589899468111155,38.198562931832754,45.26731782890519
La Mirada,5966.0,0.07,0.15,0.34,0.47,2.8,13.0,0.644,83514.0,0.82,0.02,0.16682250525138678,0.13612027885033717,37.63871818577333,46.21515841102912
Lancaster,1180.0,0.22,0.04,0.24,0.53,8.4,101.0,0.638,56069.0,0.61,0.15,0.2312499737112188,0.14208083327024026,32.18365973484084,47.81896551724138
La Puente,11761.0,0.15,0.07,0.83,0.07,3.2,13.0,0.306,55902.0,0.61,0.02,0.16996009322160055,0.13671485793645646,37.82129633996793,47.94848689282961
Larchmont,17747.0,0.14,0.3,0.37,0.25,23.9,22.0,0.708,47780.0,0.27,0.03,0.13350597425498265,0.11379191838330971,37.420354286560595,45.85347198713609
La Verne,3863.0,0.1,0.07,0.23,0.64,,,0.53,83352.0,0.78,0.03,0.24431870154463828,0.16371996339271588,33.62001107551125,45.70332557766367
Lawndale,16119.0,0.21,0.11,0.52,0.22,7.9,25.0,0.6509999999999999,53150.0,0.33,0.12,0.11495668587017385,0.09084889278476962,37.951653156996585,45.28030076791809
Leimert Park,9880.0,0.28,0.05,0.11,0.01,69.9,86.0,0.35100000000000003,45865.0,0.46,0.8,0.14577055366179364,0.11668330362280802,38.09315258644926,46.33058054540343
Leimert Park,9880.0,0.28,0.05,0.11,0.01,45865.0,,0.35100000000000003,45865.0,0.46,0.8,0.14577055366179364,0.11668330362280802,38.09315258644926,46.33058054540343
