"","neigborhood","ndvi_mean","temp_mean","median_inc","crime_percapita","crime_total","diversity_index","pct_black","pct_white","pct_latino","pct_homeowner","pct_single_parent","pop_density"
"110","Industry",0.087160771,39.36331479,66616,NA,NA,0.546,0.02,0.24,0.62,0.4,0,"82"
"111","Inglewood",0.111175096,35.79771573,46574,NA,NA,0.571,0.46,0.04,0.46,0.36,0.27,"12,330"
"112","Irwindale",0.070778722,37.65286305,60959,NA,NA,0.212,0,0.08,0.88,0.69,0.15,"154"
"113","Jefferson Park",0.109351728,38.46413401,32654,50.6,123,0.577,0.47,0.03,0.45,0.31,0.27,"16,300"
"114","Koreatown",0.073239876,38.4250496,30558,30.9,384,0.602,0.05,0.07,0.54,0.07,0.2,"42,611"
"115","La Canada Flintridge",0.202915765,33.20445619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","La Crescenta-Montrose",0.163126339,35.19250544,82693,2.2,4,0.514,0.01,0.66,0.1,0.65,0.09,"5,401"
"117","La Habra Heights",0.211216106,33.93159386,137034,3.3,2,0.539,0.02,0.64,0.12,0.94,0.04,"979"
"118","La Mirada",0.135694799,36.97592021,83514,2.6,12,0.644,0.02,0.47,0.34,0.82,0.07,"5,966"
"119","La Puente",0.134272784,39.27356906,55902,9.3,38,0.306,0.02,0.07,0.83,0.61,0.15,"11,761"
"120","La Verne",0.151682847,36.7334671,83352,NA,NA,0.53,0.03,0.64,0.23,0.78,0.1,"3,863"
"121","Ladera Heights",0.139126037,34.86354201,117925,12.3,8,0.456,0.71,0.19,0.03,0.77,0.1,"2,214"
"122","Lake Balboa",0.149462895,39.47529969,65336,26.3,69,0.632,0.04,0.49,0.34,0.66,0.14,"7,754"
"123","Lake Hughes",0.189386305,38.96536387,74918,0,0,0.389,0.04,0.76,0.16,0.77,0.1,"61"
"124","Lake Los Angeles",0.106045364,43.3059856,52146,4.5,5,0.639,0.09,0.47,0.36,0.78,0.17,"1,601"
"125","Lake View Terrace",0.138098534,39.69830569,67985,16.5,21,0.636,0.17,0.22,0.53,0.75,0.12,"2,790"
"126","Lakewood",0.142076107,36.0634842,78764,8.3,66,0.649,0.07,0.52,0.23,0.72,0.11,"8,348"
"127","Lancaster",0.112038923,42.01023039,56069,19,230,0.638,0.15,0.53,0.24,0.61,0.22,"1,180"
"128","Larchmont",0.117300637,37.42956472,47780,27.2,25,0.708,0.03,0.25,0.37,0.27,0.14,"17,747"
"129","Lawndale",0.091807838,35.63617942,53150,9.1,29,0.651,0.12,0.22,0.52,0.33,0.21,"16,119"
"130","Leimert Park",0.120569503,37.47677927,45865,99.9,123,0.351,0.8,0.01,0.11,0.46,0.28,"9,880"
"131","Lennox",0.091249594,35.6667875,37937,13.5,31,0.197,0.04,0.04,0.89,0.29,0.22,"21,557"
"132","Leona Valley",0.158026155,42.19772122,117526,7.3,1,0.353,0.01,0.8,0.07,0.9,0.07,"90"
"133","Lincoln Heights",0.082031577,38.47689264,30579,30.4,90,0.436,0,0.03,0.71,0.24,0.2,"10,602"
