"","neigborhood","ndvi_mean","temp_mean","median_inc","crime_percapita","crime_total","diversity_index","pct_black","pct_white","pct_latino","pct_homeowner","pct_single_parent","pop_density"
"226","Torrance",0.114882413,35.45641731,76866,NA,NA,0.628,0.02,0.52,0.13,0.56,0.1,"6,701"
"227","Tujunga",0.157414539,35.63711315,58001,8.8,25,0.557,0.02,0.61,0.26,0.55,0.14,"2,649"
"228","Tujunga Canyons",0.17446547,37.17833048,85625,NA,NA,0.384,0.03,0.77,0.15,0.87,0.11,"11"
"229","Unincorporated Catalina Island",NA,NA,56295,NA,NA,0.495,0,0.61,0.36,0,0.15,"2"
"230","Unincorporated Santa Monica Mountains",0.197121857,31.74002752,132997,7.8,7,0.309,0.02,0.83,0.06,0.75,0.08,"100"
"231","Unincorporated Santa Susana Mountains",0.16271226,37.53320697,93825,17.7,8,0.602,0.03,0.58,0.17,0.62,0.08,"58"
"232","Universal City",0.105852536,34.10367289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","University Park",0.102709141,37.24479287,18533,40.5,102,0.676,0.07,0.26,0.48,0.08,0.2,"20,217"
"234","Val Verde",0.16625606,40.61572359,68073,0,0,0.602,0.07,0.38,0.5,0.73,0.08,"2,588"
"235","Valinda",0.142300953,39.41474102,70037,3.7,8,0.482,0.04,0.12,0.7,0.78,0.1,"10,748"
"236","Valley Glen",0.122229269,38.82873158,46175,20.7,130,0.632,0.04,0.4,0.45,0.37,0.16,"12,325"
"237","Valley Village",0.140331155,37.31523369,55470,12.5,32,0.512,0.06,0.67,0.19,0.31,0.16,"11,600"
"238","Van Nuys",0.099071939,39.91976337,41134,29.6,328,0.571,0.06,0.23,0.61,0.26,0.21,"11,542"
"239","Venice",0.117210515,32.74395792,67647,40.1,164,0.534,0.05,0.64,0.22,0.31,0.14,"11,891"
"240","Vermont Knolls",0.082514035,38.89119624,27730,121,261,0.521,0.43,0.01,0.55,0.28,0.34,"18,057"
"241","Vermont Square",0.095014888,39.226728,29904,86,409,0.527,0.39,0.01,0.57,0.37,0.27,"17,798"
"242","Vermont Vista",0.090785464,38.19831242,31272,133.8,333,0.526,0.45,0.01,0.52,0.4,0.28,"14,154"
"243","Vermont-Slauson",0.084507079,39.26995937,31236,100.8,286,0.498,0.37,0.01,0.61,0.39,0.25,"18,577"
"244","Vernon",0.029679463,40.24320004,81279,NA,NA,0.14,0,0.02,0.93,0.16,0,"18"
"245","Veterans Administration",0.215198064,33.2324808,60561,NA,NA,0.592,0.44,0.46,0.07,0,0.63,"683"
"246","View Park-Windsor Hills",0.141363638,35.69647142,81214,11.7,13,0.246,0.87,0.05,0.03,0.76,0.1,"6,008"
"247","Vincent",0.1318937,40.05026365,66221,7.3,11,0.574,0.04,0.25,0.6,0.68,0.18,"10,163"
"248","Walnut",0.158105005,36.84667486,106893,1.3,4,0.612,0.04,0.19,0.19,0.89,0.06,"3,329"
"249","Walnut Park",0.105338709,38.54802125,48750,10.5,17,0.089,0,0.04,0.95,0.54,0.14,"22,028"
"250","Watts",0.108820437,38.35757555,25161,73.4,301,0.482,0.37,0.01,0.62,0.33,0.39,"17,346"
"251","West Adams",0.105289217,36.75895488,38209,48.1,110,0.541,0.38,0.02,0.56,0.37,0.22,"14,686"
"252","West Carson",0.087276447,37.81583269,66805,12.4,26,0.748,0.11,0.29,0.3,0.75,0.1,"9,219"
"253","West Compton",0.059415531,39.60871136,48093,38.6,21,0.539,0.58,0.02,0.36,0.71,0.21,"3,291"
"254","West Covina",0.149533228,37.96989778,71898,NA,NA,0.682,0.06,0.23,0.46,0.67,0.12,"6,509"
"255","West Hills",0.168084557,38.8042702,103008,13,54,0.47,0.03,0.71,0.11,0.87,0.07,"4,551"
"256","West Hollywood",0.118596471,36.65327028,52855,28.8,103,0.33,0.03,0.81,0.09,0.22,0.1,"18,924"
"257","West Los Angeles",0.145049688,34.48556374,86403,16.2,22,0.393,0.02,0.77,0.05,0.49,0.06,"12,061"
"258","West Puente Valley",0.133974022,39.95393228,64809,4.6,11,0.334,0.02,0.08,0.81,0.77,0.1,"12,855"
"259","West San Dimas",0.194811002,34.08411984,125984,0,0,0.581,0.03,0.6,0.2,0.87,0.04,"937"
"260","West Whittier-Los Nietos",0.136454094,37.84960231,61504,6.6,17,0.307,0.01,0.14,0.82,0.71,0.12,"9,899"
"261","Westchester",0.093990951,34.31098172,77473,18.1,78,0.66,0.17,0.52,0.17,0.52,0.15,"3,839"
"262","Westlake",0.071837767,38.37496203,26757,47.6,560,0.43,0.04,0.05,0.73,0.05,0.25,"38,214"
"263","Westlake Village",0.164777657,34.9748106,126550,5.8,5,0.261,0.01,0.86,0.05,0.87,0.05,"1,534"
"264","Westmont",0.099200199,38.78437973,31572,50.8,160,0.514,0.58,0.01,0.39,0.32,0.36,"17,066"
"265","Westwood",0.190942225,32.95676843,68716,8.5,44,0.543,0.02,0.63,0.07,0.36,0.05,"13,036"
"266","Whittier",0.157175053,35.72465696,66891,NA,NA,0.548,0.01,0.37,0.56,0.58,0.15,"5,688"
"267","Whittier Narrows",0.173535922,35.52228039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","Willowbrook",0.108222829,38.27184146,38224,30.6,105,0.523,0.44,0.01,0.53,0.52,0.25,"9,117"
"269","Wilmington",0.060556551,35.92456596,40627,34.7,189,0.245,0.03,0.06,0.87,0.39,0.19,"5,636"
"270","Windsor Square",0.191784106,34.52677337,61767,17.8,11,0.661,0.04,0.38,0.15,0.41,0.1,"8,255"
"271","Winnetka",0.142266358,40.07902808,62535,22.1,121,0.678,0.04,0.36,0.41,0.52,0.13,"9,826"
"272","Woodland Hills",0.17030431,37.80262131,89946,18.9,120,0.374,0.03,0.78,0.08,0.63,0.09,"4,040"
