NEIGHBORHOOD,POPULATION PER SQMI,SINGLE PARENTS,ASIAN POPULATION,LATINO POPULATION,WHITE POPULATION,CRIME PER CAPITA,CRIME TOTAL,DIVERSITY INDEX,MEDIAN INCOME,HOMEOWNERS,BLACK POPULATION
Toluca Lake,6393.0,0.1,0.05,0.14,0.72,16.4,14.0,0.457,73111.0,0.38,0.05
Topanga,386.0,0.06,0.04,0.05,0.88,0.0,0.0,0.22699999999999998,120319.0,0.76,0.01
Torrance,6701.0,0.1,0.29,0.13,0.52,,,0.628,76866.0,0.56,0.02
Tujunga,2649.0,0.14,0.07,0.26,0.61,8.8,25.0,0.557,58001.0,0.55,0.02
Tujunga Canyons,11.0,0.11,0.02,0.15,0.77,,,0.384,85625.0,0.87,0.03
Unincorporated Catalina Island,2.0,0.15,0.01,0.36,0.61,,,0.495,56295.0,0.0,0.0
Unincorporated Santa Monica Mountains,100.0,0.08,0.06,0.06,0.83,0.0,0.0,0.309,132997.0,0.75,0.02
Unincorporated Santa Susana Mountains,58.0,0.08,0.19,0.17,0.58,11.0,5.0,0.602,93825.0,0.62,0.03
Universal City,,,,,,,,,,,
University Park,20217.0,0.2,0.16,0.48,0.26,27.0,68.0,0.6759999999999999,18533.0,0.08,0.07
University Park,20217.0,0.2,0.16,0.48,0.26,18533.0,,0.6759999999999999,18533.0,0.08,0.07
Valinda,10748.0,0.1,0.13,0.7,0.12,3.2,7.0,0.48200000000000004,70037.0,0.78,0.04
Valley Glen,12325.0,0.16,0.05,0.45,0.4,16.1,101.0,0.632,46175.0,0.37,0.04
Valley Village,11600.0,0.16,0.04,0.19,0.67,11.3,29.0,0.512,55470.0,0.31,0.06
Val Verde,2588.0,0.08,0.01,0.5,0.38,0.0,0.0,0.602,68073.0,0.73,0.07
Van Nuys,11542.0,0.21,0.06,0.61,0.23,24.7,273.0,0.5710000000000001,41134.0,0.26,0.06
Van Nuys,11542.0,0.21,0.06,0.61,0.23,41134.0,,0.5710000000000001,41134.0,0.26,0.06
Venice,11891.0,0.14,0.04,0.22,0.64,34.2,140.0,0.534,67647.0,0.31,0.05
Vermont Knolls,18057.0,0.34,0.01,0.55,0.01,110.4,238.0,0.521,27730.0,0.28,0.43
Vermont Knolls,18057.0,0.34,0.01,0.55,0.01,27730.0,,0.521,27730.0,0.28,0.43
Vermont-Slauson,18577.0,0.25,0.0,0.61,0.01,99.7,283.0,0.498,31236.0,0.39,0.37
Vermont-Slauson,18577.0,0.25,0.0,0.61,0.01,31236.0,,0.498,31236.0,0.39,0.37
Vermont Square,17798.0,0.27,0.01,0.57,0.01,69.6,331.0,0.527,29904.0,0.37,0.39
Vermont Square,17798.0,0.27,0.01,0.57,0.01,29904.0,,0.527,29904.0,0.37,0.39
Vermont Vista,14154.0,0.28,0.01,0.52,0.01,122.9,306.0,0.526,31272.0,0.4,0.45
Vermont Vista,14154.0,0.28,0.01,0.52,0.01,31272.0,,0.526,31272.0,0.4,0.45
Vernon,18.0,0.0,0.0,0.93,0.02,,,0.14,81279.0,0.16,0.0
Veterans Administration,683.0,0.63,0.0,0.07,0.46,,,0.5920000000000001,60561.0,0.0,0.44
View Park-Windsor Hills,6008.0,0.1,0.02,0.03,0.05,7.2,8.0,0.24600000000000002,81214.0,0.76,0.87
Vincent,10163.0,0.18,0.09,0.6,0.25,2.7,4.0,0.574,66221.0,0.68,0.04
Walnut,3329.0,0.06,0.56,0.19,0.19,1.3,4.0,0.612,106893.0,0.89,0.04
Walnut Park,22028.0,0.14,0.01,0.95,0.04,6.8,11.0,0.08900000000000001,48750.0,0.54,0.0
Watts,17346.0,0.39,0.0,0.62,0.01,67.5,277.0,0.48200000000000004,25161.0,0.33,0.37
Watts,17346.0,0.39,0.0,0.62,0.01,25161.0,,0.48200000000000004,25161.0,0.33,0.37
West Adams,14686.0,0.22,0.02,0.56,0.02,41.1,94.0,0.541,38209.0,0.37,0.38
West Adams,14686.0,0.22,0.02,0.56,0.02,38209.0,,0.541,38209.0,0.37,0.38
West Carson,9219.0,0.1,0.26,0.3,0.29,4.3,9.0,0.748,66805.0,0.75,0.11
Westchester,3839.0,0.15,0.1,0.17,0.52,17.9,77.0,0.66,77473.0,0.52,0.17
West Compton,3291.0,0.21,0.02,0.36,0.02,7.3,4.0,0.539,48093.0,0.71,0.58
West Covina,6509.0,0.12,0.23,0.46,0.23,,,0.682,71898.0,0.67,0.06
West Hills,4551.0,0.07,0.11,0.11,0.71,6.8,28.0,0.47,103008.0,0.87,0.03
West Hollywood,18924.0,0.1,0.04,0.09,0.81,17.1,61.0,0.33,52855.0,0.22,0.03
Westlake,38214.0,0.25,0.17,0.73,0.05,40.8,480.0,0.43,26757.0,0.05,0.04
Westlake,38214.0,0.25,0.17,0.73,0.05,26757.0,,0.43,26757.0,0.05,0.04
Westlake Village,1534.0,0.05,0.06,0.05,0.86,3.5,3.0,0.261,126550.0,0.87,0.01
West Los Angeles,12061.0,0.06,0.11,0.05,0.77,9.6,13.0,0.39299999999999996,86403.0,0.49,0.02
Westmont,17066.0,0.36,0.01,0.39,0.01,41.3,130.0,0.514,31572.0,0.32,0.58
Westmont,17066.0,0.36,0.01,0.39,0.01,31572.0,,0.514,31572.0,0.32,0.58
West Puente Valley,12855.0,0.1,0.09,0.81,0.08,1.3,3.0,0.33399999999999996,64809.0,0.77,0.02
West San Dimas,937.0,0.04,0.16,0.2,0.6,0.0,0.0,0.581,125984.0,0.87,0.03
West Whittier-Los Nietos,9899.0,0.12,0.01,0.82,0.14,3.1,8.0,0.307,61504.0,0.71,0.01
Westwood,13036.0,0.05,0.23,0.07,0.63,8.5,44.0,0.5429999999999999,68716.0,0.36,0.02
Whittier,5688.0,0.15,0.04,0.56,0.37,,,0.5479999999999999,66891.0,0.58,0.01
Whittier Narrows,,,,,,,,,,,
Willowbrook,9117.0,0.25,0.01,0.53,0.01,13.4,46.0,0.523,38224.0,0.52,0.44
Willowbrook,9117.0,0.25,0.01,0.53,0.01,38224.0,,0.523,38224.0,0.52,0.44
Wilmington,5636.0,0.19,0.03,0.87,0.06,24.6,134.0,0.245,40627.0,0.39,0.03
Wilmington,5636.0,0.19,0.03,0.87,0.06,40627.0,,0.245,40627.0,0.39,0.03
Windsor Square,8255.0,0.1,0.42,0.15,0.38,16.1,10.0,0.6609999999999999,61767.0,0.41,0.04
Winnetka,9826.0,0.13,0.16,0.41,0.36,13.9,76.0,0.6779999999999999,62535.0,0.52,0.04
Woodland Hills,4040.0,0.09,0.07,0.08,0.78,16.7,106.0,0.374,89946.0,0.63,0.03
