NEIGHBORHOOD,POPULATION PER SQMI,SINGLE PARENTS,ASIAN POPULATION,LATINO POPULATION,WHITE POPULATION,CRIME PER CAPITA,CRIME TOTAL,DIVERSITY INDEX,MEDIAN INCOME,HOMEOWNERS,BLACK POPULATION
Compton,9199.0,0.22,0.01,0.57,0.01,43157.0,,0.519,43157.0,0.57,0.4
Covina,6701.0,0.18,0.1,0.4,0.42,,,0.653,66438.0,0.6,0.05
Cudahy,19697.0,0.24,0.01,0.94,0.04,39048.0,,0.11699999999999999,39048.0,0.17,0.0
Culver City,7475.0,0.13,0.12,0.24,0.48,,,0.6809999999999999,70774.0,0.54,0.11
Cypress Park,13478.0,0.17,0.11,0.82,0.05,25.8,28.0,0.311,42615.0,0.42,0.01
Cypress Park,13478.0,0.17,0.11,0.82,0.05,42615.0,,0.311,42615.0,0.42,0.01
Del Aire,9132.0,0.15,0.09,0.46,0.34,4.4,4.0,0.657,66442.0,0.66,0.07
Del Rey,11420.0,0.13,0.14,0.44,0.34,10.6,35.0,0.6659999999999999,62259.0,0.45,0.04
Desert View Highlands,5160.0,0.11,0.07,0.28,0.51,8.7,2.0,0.645,80867.0,0.81,0.11
Diamond Bar,3754.0,0.08,0.43,0.19,0.31,1.4,8.0,0.687,92414.0,0.83,0.05
Downey,8566.0,0.16,0.07,0.58,0.29,,,0.5770000000000001,61839.0,0.52,0.04
Downtown,4770.0,0.14,0.21,0.37,0.16,40.8,847.0,0.743,15003.0,0.07,0.22
Downtown,4770.0,0.14,0.21,0.37,0.16,15003.0,,0.743,15003.0,0.07,0.22
Duarte,3212.0,0.13,0.13,0.43,0.32,5.1,11.0,0.687,68539.0,0.71,0.09
Eagle Rock,7644.0,0.13,0.24,0.4,0.3,7.3,25.0,0.69,67253.0,0.56,0.02
East Compton,16542.0,0.2,0.01,0.73,0.01,8.7,12.0,0.41600000000000004,44439.0,0.56,0.23
East Compton,16542.0,0.2,0.01,0.73,0.01,44439.0,,0.41600000000000004,44439.0,0.56,0.23
East Hollywood,31095.0,0.2,0.16,0.6,0.18,29.3,229.0,0.578,29927.0,0.09,0.02
East Hollywood,31095.0,0.2,0.16,0.6,0.18,29927.0,,0.578,29927.0,0.09,0.02
East La Mirada,8506.0,0.1,0.04,0.38,0.54,1.1,1.0,0.561,69930.0,0.65,0.01
East Los Angeles,16863.0,0.19,0.01,0.97,0.02,38621.0,,0.065,38621.0,0.37,0.0
East Pasadena,4622.0,0.05,0.2,0.36,0.37,11.6,7.0,0.6920000000000001,73690.0,0.71,0.02
East San Gabriel,10157.0,0.11,0.41,0.27,0.28,2.7,6.0,0.6829999999999999,64365.0,0.54,0.02
Echo Park,16868.0,0.21,0.19,0.64,0.13,19.8,87.0,0.5379999999999999,37708.0,0.24,0.02
Echo Park,16868.0,0.21,0.19,0.64,0.13,37708.0,,0.5379999999999999,37708.0,0.24,0.02
Elizabeth Lake,219.0,0.11,0.01,0.16,0.76,0.0,0.0,0.39,75951.0,0.77,0.04
El Monte,11995.0,0.18,0.19,0.73,0.07,44415.0,,0.435,44415.0,0.41,0.01
El Segundo,2925.0,0.13,0.07,0.1,0.78,,,0.38,83925.0,0.42,0.01
El Sereno,9826.0,0.18,0.11,0.81,0.05,12.6,55.0,0.325,45866.0,0.48,0.02
El Sereno,9826.0,0.18,0.11,0.81,0.05,45866.0,,0.325,45866.0,0.48,0.02
Elysian Park,1538.0,0.18,0.43,0.48,0.03,15.0,4.0,0.5820000000000001,28263.0,0.18,0.02
Elysian Park,1538.0,0.18,0.43,0.48,0.03,28263.0,,0.5820000000000001,28263.0,0.18,0.02
Elysian Valley,9354.0,0.14,0.26,0.61,0.1,9.0,7.0,0.552,49013.0,0.48,0.01
Encino,4411.0,0.09,0.05,0.09,0.8,8.5,38.0,0.34600000000000003,78529.0,0.62,0.02
Exposition Park,16819.0,0.27,0.02,0.56,0.02,47.5,159.0,0.539,33999.0,0.31,0.38
Exposition Park,16819.0,0.27,0.02,0.56,0.02,33999.0,,0.539,33999.0,0.31,0.38
Fairfax,10122.0,0.06,0.05,0.06,0.85,63.6,85.0,0.27699999999999997,65938.0,0.29,0.02
Florence,15661.0,0.28,0.0,0.7,0.0,77.5,361.0,0.434,29447.0,0.35,0.28
Florence,15661.0,0.28,0.0,0.7,0.0,29447.0,,0.434,29447.0,0.35,0.28
Florence-Firestone,16805.0,0.23,0.0,0.86,0.01,14.0,84.0,0.243,34408.0,0.38,0.13
Florence-Firestone,16805.0,0.23,0.0,0.86,0.01,34408.0,,0.243,34408.0,0.38,0.13
Gardena,9894.0,0.16,0.27,0.32,0.12,,,0.748,52897.0,0.47,0.25
Glassell Park,8524.0,0.17,0.17,0.66,0.14,17.3,43.0,0.513,50098.0,0.44,0.01
Glendale,6368.0,0.09,0.16,0.2,0.54,,,0.635,57112.0,0.38,0.01
Glendora,2568.0,0.11,0.07,0.22,0.67,,,0.495,81336.0,0.74,0.01
Gramercy Park,8859.0,0.22,0.0,0.12,0.01,85.0,95.0,0.24100000000000002,57983.0,0.7,0.86
Granada Hills,3344.0,0.09,0.16,0.21,0.56,7.2,39.0,0.62,83911.0,0.74,0.03
Green Meadows,12785.0,0.28,0.0,0.54,0.01,95.9,293.0,0.512,31347.0,0.48,0.44
